id,year,assets,capex,ltd,ebitda,ppe,sales,ads,rd,bookval,mv,indclass,tobinsQ
1050,1994,7.231,0.156,1.399,1.297,3.101,10.327,0.072,0.044,3.17,11.42,21,3.602523659
1050,1995,8.645,0.168,1.253,0.486,3.289,8.435,0.139,0.017,4.36,20.88,21,4.788990826
1050,1996,9.201,0.079,1.142,1.135,3.36,9.848,0.131,0.117,5.11,14.4,21,2.818003914
1050,1997,13.961,0.21,1.737,0.86,3.701,14.531,0.117,0.092,6.74,24.4,21,3.620178042
1050,1998,15.475,0.241,1.57,1.755,4.035,26.382,0.158,0.097,7.56,24.75,21,3.273809524
1050,1999,51.073,0.165,28.29,1.171,16.542,23.862,0.087,0.033,9.04,20.63,21,2.282079646
1050,2002,46.677,0.24,16.202,3.455,17.608,78.877,0.153,0.033,12.89,17.74,21,1.376260667
1050,2003,41.154,0.112,13.388,2.556,16.003,68.159,0.171,0.028,10.45,16.48,21,1.577033493
1050,2004,43.441,0.472,11.894,2.338,16.475,69.366,0.12,0.016,9.71,34.38,21,3.540679712
1050,2005,42.9,0.661,12.847,4.704,16.887,81.521,0.157,0.01,9.93,57.36,21,5.776435045
1050,2006,63.188,0.898,14.872,7.276,17.701,135.359,0.283,0,17.45,103.02,21,5.903724928
1050,2007,96.535,1.692,4.429,14.214,19.554,235.953,0.638,0.012,43.61,162.38,21,3.723457922
1050,2008,120.017,2.249,25.2,11.371,24.11,217.89,0.985,0.05,46.82,34.66,21,0.740281931
1050,2009,77.515,0.999,12.671,3.799,25.087,138.985,0.606,0.022,31.76,56.44,21,1.777078086
1050,2010,74.791,0.654,10.8,6.398,17.972,140.602,0.324,0.053,35.17,85.34,21,2.426499858
1104,1990,37.753,1.31,9.771,3.762,21.028,44.224,1.166,0.298,20.29,17.18,17,0.846722523
1104,1991,41.066,1.403,11.784,4.483,21.652,47.836,1.376,0.237,21.55,23.73,17,1.101160093
1104,1992,43.697,1.215,6.182,2.47,20.68,53.037,1.692,0.233,19.81,19.19,17,0.968702675
1104,1993,41.963,1.159,14.718,1.761,19.668,52.339,1.742,0.169,19,14.19,17,0.746842105
1104,1998,28.896,1.573,6.383,0.389,18.614,36.457,2.353,0.091,4.68,7.6,17,1.623931624
1104,1999,20.767,0.46,5.012,1.555,10.855,34.309,2.444,0.019,6.92,3.95,17,0.570809249
1104,2000,21.118,0.457,4.924,3.019,8.732,34.413,3.17,0.046,7.89,9.87,17,1.25095057
1104,2002,17.614,0.485,2.032,1.593,8.3,30.884,0.766,0.385,8.48,12.72,17,1.5
1104,2003,20.023,0.424,2.752,2.92,8.651,34.975,0.669,0.347,10.34,17.64,17,1.705996132
1104,2004,23.009,0.443,0.055,6.084,9.148,43.381,1.109,0.457,14.11,53.58,17,3.797306875
1104,2005,28.194,1.431,5.577,7.484,9.631,49.946,1.252,0.245,14.21,48.62,17,3.421534131
1104,2006,35.021,0.565,10.218,7.548,9.943,56.863,1.292,0.306,18.13,50.64,17,2.793160507
1104,2007,42.222,0.673,10.187,7.624,11.196,63.173,1.061,0.236,23.05,50.63,17,2.196529284
1104,2008,45.424,0.743,11.75,7.887,10.587,68.719,1.1595,0.255,22.89,23.57,17,1.029707296
1104,2009,42.309,0.567,9.154,3.945,10.9,59.149,1.067,0.44,24.54,29.05,17,1.183781581
1104,2010,49.581,0.937,13.522,3.85,11.503,63.149,1.039,0.487,25.35,29.22,17,1.152662722
1104,2011,55.222,0.941,17.568,5.387,10.222,73.302,1.24,0.536,27.78,29.78,17,1.07199424
1104,2012,67.828,0.681,24.32,6.451,10.868,84.37,1.521,0.573,30.87,34.5,17,1.117589893
1104,2013,68.079,4.592,22.912,7.084,15.356,89.577,1.485,0.603,35.01,47.69,17,1.362182234
1104,2014,79.308,2.042,24.147,9.394,15.629,107.222,1.661,0.665,39.43,65.79,17,1.668526503
1111,1993,68.677,0.887,0,-0.366,1.714,26.604,0.558,4.38,3.63,49.66,36,13.68044077
1111,1994,68.883,1.256,0,-1.015,2.985,40.669,3.564,7.274,62.87,69.54,36,1.106091936
1111,1995,77.613,3.045,0,5.177,6.008,61.393,1.94,17.505,56.69,151.01,36,2.6637855
1111,1996,95.67,3.832,0,13.142,9.824,86.483,3.144,18.195,67.85,179.93,36,2.651879145
1111,1997,217.407,8.288,61.235,17.001,22.096,259.926,6.336,28.393,97.39,336.44,36,3.454564124
1111,1998,283.612,3.8,61.143,34.333,26.118,436.485,15.572,21.422,119.88,248.72,36,2.074741408
1111,1999,309.737,4.518,73.778,48.493,30.693,583.905,18.6,26.275,175.58,385.26,36,2.194213464
1111,2000,359.957,9.78,63.401,46.109,35.028,620.183,16.5,41.396,145.81,373.16,36,2.559220904
1111,2001,556.887,9.15,3.122,86.791,42.692,786.434,18.9,40.96,385.61,1393.64,36,3.614117891
1111,2002,704.816,11.877,2.671,104.947,51.57,864.116,60,56.971,767.82,952.51,36,1.240538147
1111,2003,968.817,11.976,0,119.817,58.239,947.656,76.6,97.859,801.67,1625.32,36,2.027417765
1111,2004,1306.963,14.941,0,195.171,68.923,1405.857,150.7,86.543,1033.2,2854.56,36,2.762833914
1111,2005,1418.255,30.406,0,29.426,93.199,1468,192.6,132.651,1209.48,3791.32,36,3.134669445
1111,2006,1793.947,17.935,0,90.947,106.604,1513.012,98.4,133.073,1408.89,4877.8,36,3.462158153
1111,2007,2530.673,29.4,0,502.914,132.574,2898.136,180.3,269.535,1866.4,8723.51,36,4.67397664
1117,1997,31.665,2.694,7.44,-3.93,13.403,45.376,0.456,5.466,14.03,38.08,37,2.714183892
1117,1998,26.827,1.368,8.755,-1.861,14.152,29.53,0.241,2.277,8.67,7.73,37,0.891580161
1117,1999,22.853,0.681,9.072,-0.225,14.774,22.404,0.133,1.483,6.38,15.91,37,2.493730408
1117,2000,18.422,0.251,6.353,-0.329,10.476,21.054,0.161,1.175,6.36,2.17,37,0.341194969
1117,2001,17.623,0.087,6.998,1.454,7.596,22.809,0.188,1.359,6.48,5.61,37,0.865740741
1117,2002,12.856,0.157,3.15,-1.213,8.8,15.978,0.202,1.865,4.87,4.18,37,0.858316222
1117,2003,12.229,0.17,1.272,1.899,8.97,19.728,0.241,1.455,5.99,14.06,37,2.347245409
1117,2004,19.693,0.33,0,2.431,9.299,20.656,0.363,1.853,17.45,28.96,37,1.659598854
1117,2005,31.116,0.515,0,6.072,4.575,28.519,0.418,2.418,27.82,96.02,37,3.45147376
1117,2006,35.306,0.224,0,6.139,4.799,32.445,0.731,3.079,32.3,80.05,37,2.478328173
1117,2007,30.145,0.862,0,2.658,3.846,26.976,0.426,2.918,27.79,42.2,37,1.518531846
1117,2008,30.622,0.432,1.5,-2.665,4.279,19.175,0.41,4.527,26.24,9.92,37,0.37804878
1117,2009,31.421,0.357,0,4.171,4.551,27.989,0.299,3.562,28.66,42.13,37,1.469993022
1117,2010,34.792,0.465,2,0.183,4.993,25.954,0.328,4.859,28.39,24.32,37,0.856639662
1117,2011,31.847,0.215,0,0.759,5.208,24.104,0.348,4.397,28.07,14.87,37,0.529747061
1117,2012,33.96,0.375,0,4.248,5.583,27.576,0.254,3.667,30.18,22.76,37,0.754141816
1117,2013,34.023,0.338,0,3.116,5.898,27.023,0.204,3.851,31.42,45.79,37,1.457352005
1117,2014,36.986,0.697,0,3.713,6.584,30.971,0.281,3.694,33.23,65.59,37,1.973818838
1161,1990,1111.692,304.188,131.307,77.154,1449.326,1059.242,4.877,203.651,662.81,401.4,37,0.605603416
1161,1991,1291.758,111.025,42.039,265.095,1530.638,1226.649,8.117,213.765,794.37,1470.54,37,1.85120284
1161,1993,1929.231,323.669,79.504,480.12,1998.363,1648.28,22,262.802,1395.07,1640.88,37,1.176199044
1161,1994,2445.702,548.742,75.752,729.123,2464.929,2134.659,31,279.984,1777.75,2373.5,37,1.335114611
1161,1995,3031.268,620.815,214.965,610.778,2930.973,2429.724,40,397.555,2194.57,1724.56,37,0.785830482
1161,1996,3145.283,485.018,444.83,88.03,3326.768,1953.019,44,400.703,2116.98,3542.69,37,1.673464086
1161,1997,3515.271,685.1,662.689,303.812,3799.051,2356.375,74,467.877,2125.81,2522.68,37,1.186691191
1161,1998,4252.968,996.17,1372.416,303.879,4380.362,2542.141,74,567.402,2039.83,4218.83,37,2.068226274
1161,1999,4377.698,619.772,1427.282,232.834,4938.302,2857.604,101,635.786,2039.76,4301.73,37,2.108939287
1161,2000,5767.735,805.474,1167.973,1467.806,5461.801,4644.187,148,641.799,3375.65,4339.02,37,1.285387999
1161,2001,5647.242,678.865,672.945,660.815,6126.278,3891.754,184,650.93,3660.36,5400.38,37,1.475368543
1161,2002,5619.181,705.147,1779.837,-96.642,7039.663,2697.029,199,816.114,2467.27,2225.65,37,0.902069899
1161,2003,7094.345,570.316,1899.674,748.386,10072.394,3519.168,148,852.075,2596,5218.77,37,2.010312018
1161,2004,7844.21,1440.137,1628.268,1451.517,11037.583,5001.435,225,934.574,3114.3,8626.09,37,2.769832707
1161,2005,7287.779,1513.173,1327.065,1466.999,5487.605,5847.577,333,1144.025,3444.44,13327.13,37,3.869171767
1161,2006,13147,1857,3672,1238,7337,5649,515,1621,5816,11131.45,37,1.913935695
1161,2007,11550,1685,5031,94,7888,6013,555,1847,2996,4545,37,1.517022697
1161,2008,7675,624,4702,255,7158,5808,520,1848,178,1315.44,37,7.39011236
1234,2005,78.47,10.569,2.529,18.087,63.041,72.089,0.219,2.396,66.24,127.33,12,1.922252415
1234,2006,95.772,20.889,11.399,19.343,82.536,81.02,0.198,2.794,75.97,145.68,12,1.917599052
1234,2007,99.313,7.893,0,24.019,89.736,88.54,0.277,2.778,91.34,238.88,12,2.615283556
1234,2008,115.353,5.412,0,29.326,94.364,95.895,0.251,2.969,107.8,191.09,12,1.772634508
1234,2009,132.749,6.591,0,33.156,99.862,100.643,0.126,3.054,124.58,308.33,12,2.474955852
1234,2010,134.652,4.293,0,38.018,103.789,108.569,0.117,2.669,124.81,361.79,12,2.898726064
1234,2011,161.895,11.999,0,44.712,114.975,117.704,0.098,2.868,149.42,484.3,12,3.241199304
1235,1990,28.664,2.379,0.91,3.507,30.947,41.852,0.571,0.167,23.14,14.77,16,0.638288678
1235,1991,29.767,1.477,0.872,3.366,23.892,39.728,0.612,0.256,24.93,11.14,16,0.446851183
1235,1992,30.586,1.326,0.505,3.665,24.28,40.567,0.529,0.187,27.23,14.36,16,0.52735953
1235,1993,35.224,1.719,1.777,4.128,25.529,50.855,0.726,0.341,28.33,19.08,16,0.673490999
1235,1994,37.73,1.919,1.058,4.984,27.102,56.507,0.522,0.376,30.79,20.73,16,0.673270542
1235,1995,49.33,1.61,12.263,1.207,29.979,63.718,0.384,0.491,28.85,14.24,16,0.493587522
1235,1996,45.199,1.526,9.913,4.151,31.359,65.815,0.408,0.474,29.26,10.97,16,0.374914559
1235,1997,43.619,1.869,7.452,2.834,31.111,59.912,0.329,0.513,29.16,8.63,16,0.295953361
1235,1998,46.779,4.797,8.383,11.568,37.441,75.242,0.155,0.946,31.51,59.91,16,1.901301174
1244,1990,3.753,0.009,0.4,-0.185,0.676,4.015,0.065,0.745,2.66,8.86,14,3.330827068
1244,1991,4.088,0.02,0,0.265,0.697,4.759,0.121,0.599,2.72,11.88,14,4.367647059
1244,1999,14.53,4.99,0,-0.888,7.89,12.44,0.064,1.764,12.98,30.57,14,2.355161787
1244,2000,19.003,5.216,0,4.152,13.107,17.958,0.159,1.793,14.73,59.52,14,4.040733198
1244,2001,21.865,5.359,0,5.33,18.465,21.989,0.189,2.64,17.25,63.66,14,3.690434783
1244,2002,21.369,2.333,0,5.408,20.798,21.924,0.208,2.158,19.06,45.68,14,2.396642183
1283,1990,49.667,2.345,0,5.686,15.095,25.721,0.31,0.664,47,41.35,35,0.879787234
1283,1991,51.116,0.335,0,4.588,15.321,25.276,0.29,0.634,49.09,44.45,35,0.905479731
1283,1992,53.581,0.321,0,4.753,15.618,26.238,0.284,0.689,51.51,44.35,35,0.860997864
1283,1993,55.753,0.439,0,5.144,15.928,26.478,0.202,0.613,53.02,41.71,35,0.78668427
1283,2001,66.472,1.458,0,-0.362,26.6,60.491,0.441,8.005,56.32,36.39,35,0.646129261
1283,2002,73.363,1.899,0,5.909,27.328,67.74,0.334,7.783,56.31,45.7,35,0.81157876
1283,2003,71.95,1.063,0,3.437,28.283,60.788,0.278,8.786,56.37,52.02,35,0.922831293
1283,2004,78.473,2.743,0,8.626,30.977,80.171,0.46,13.948,59.89,79.76,35,1.331774921
